Object_ID,Geographic_Identifier_-_FIPS_Code,Area_of_Land_(Square_Meters),Area_of_Water_(Square_Meters),Name,State,County,Median_Household_Income_in_past_12_months_(inflation-adjusted_dollars_to_last_year_of_5-year_range),Median_Household_Income_in_past_12_months_(inflation-adjusted_dollars_to_last_year_of_5-year_range)_-_Margin_of_Error,"Median_Household_Income_in_past_12_months,_Householder_under_25_years","Median_Household_Income_in_past_12_months,_Householder_under_25_years_-_Margin_of_Error","Median_Household_Income_in_past_12_months,_Householder_25_to_44_years","Median_Household_Income_in_past_12_months,_Householder_25_to_44_years_-_Margin_of_Error","Median_Household_Income_in_past_12_months,_Householder_45_to_64_years","Median_Household_Income_in_past_12_months,_Householder_45_to_64_years_-_Margin_of_Error","Median_Household_Income_in_past_12_months,_Householder_65_years_and_over","Median_Household_Income_in_past_12_months,_Householder_65_years_and_over_-_Margin_of_Error","Median_Household_Income_in_past_12_months,_Black_or_African_American_Alone_Householder","Median_Household_Income_in_past_12_months,_Black_or_African_American_Alone_Householder_-_Margin_of_Error","Median_Household_Income_in_past_12_months,_American_Indian_and_Alaska_Native_Alone_Householder","Median_Household_Income_in_past_12_months,_American_Indian_and_Alaska_Native_Alone_Householder_-_Margin_of_Error","Median_Household_Income_in_past_12_months,_Asian_Alone_Householder","Median_Household_Income_in_past_12_months,_Asian_Alone_Householder_-_Margin_of_Error","Median_Household_Income_in_past_12_months,_Native_Hawaiian_and_Other_Pacific_Islander_Alone_Householder","Median_Household_Income_in_past_12_months,_Native_Hawaiian_and_Other_Pacific_Islander_Alone_Householder_-_Margin_of_Error","Median_Household_Income_in_past_12_months,_Some_Other_Race_Alone_Householder","Median_Household_Income_in_past_12_months,_Some_Other_Race_Alone_Householder_-_Margin_of_Error","Median_Household_Income_in_past_12_months,_2_or_More_Races_Householder","Median_Household_Income_in_past_12_months,_2_or_More_Races_Householder_-_Margin_of_Error","Median_Household_Income_in_past_12_months,_White_Alone,_Not_Hispanic_Householder","Median_Household_Income_in_past_12_months,_White_Alone,_Not_Hispanic_Householder_-_Margin_of_Error","Median_Household_Income_in_past_12_months,_Hispanic_or_Latino_Householder","Median_Household_Income_in_past_12_months,_Hispanic_or_Latino_Householder_-_Margin_of_Error",Total_Households,Total_Households_-_Margin_of_Error,Households_with_any_self-employment_income_in_past_12_months,Households_with_any_self-employment_income_in_past_12_months_-_Margin_of_Error,Households_with_no_self-employment_income_in_past_12_months,Households_with_no_self-employment_income_in_past_12_months_-_Margin_of_Error,Percent_of_households_with_any_self-employment_income,Percent_of_households_with_any_self-employment_income_-_Margin_of_Error,Shape_Area,Shape_Length
2864,12001000200,2096008,0,Census Tract 2,Florida,Alachua County,16094,3232,8097,3570,31858,12195,20521,17018,23462,27109,15603,8289,0,0,2499,0,0,0,0,0,3929,10561,20408,3742,12434,8225,2311,228,181,117,2130,238,7.8,5.00342865,2784798.609,8129.508791
2865,12001000301,2479035,22169,Census Tract 3.01,Florida,Alachua County,19782,4808,16458,5863,27404,23399,18026,4496,41215,17980,17582,7186,0,0,6900,14902,0,0,0,0,0,0,27550,8431,19176,2248,1695,141,150,69,1545,154,8.8,4.003680231,3324151.02,7758.017726
2866,12001000302,3793940,39594,Census Tract 3.02,Florida,Alachua County,28618,11839,20268,10361,45250,15039,25203,10348,27399,93711,24103,3095,0,0,0,0,0,0,0,0,0,0,32434,12910,38068,18658,1131,112,130,67,1001,134,11.5,5.813579871,5096548.811,9975.819742
2867,12001000400,6020171,9011,Census Tract 4,Florida,Alachua County,36732,5981,5156,20602,38580,35640,45717,10181,27813,14873,33148,10899,0,0,0,0,0,0,0,0,0,0,46844,11211,7917,32123,1883,181,79,66,1804,180,4.2,3.481767931,8014678.582,11630.89803
2868,12001000500,3912763,1068,Census Tract 5,Florida,Alachua County,32540,8612,23173,20816,38995,10409,34440,11692,29491,13555,16343,14444,0,0,0,0,0,0,0,0,31793,42655,41083,12064,14972,32965,2462,221,268,137,2194,227,10.9,5.478119372,5200555.15,10835.00847
2869,12001000600,7602268,103244,Census Tract 6,Florida,Alachua County,21604,2488,8542,5905,21685,7551,20391,6496,30804,13398,20497,3640,0,0,0,0,0,0,0,0,0,0,38906,27904,0,0,1485,101,64,43,1421,104,4.3,2.880748416,10238044.94,14527.23036
2870,12001000700,22485717,457316,Census Tract 7,Florida,Alachua County,30819,4972,0,0,31919,13748,33598,5460,24390,3274,31150,4604,0,0,0,0,0,0,0,0,0,0,31087,11416,0,0,2149,140,124,84,2025,168,5.8,3.890677694,30466873.99,25766.67885
2871,12001000806,949558,1453,Census Tract 8.06,Florida,Alachua County,22372,9630,7229,3991,39335,7369,28603,11573,0,0,29125,40536,0,0,26121,12606,0,0,0,0,8846,6237,30938,18122,6856,18309,1026,121,90,70,936,128,8.8,6.743725402,1263248.727,4750.239717
2872,12001000808,2631235,188598,Census Tract 8.08,Florida,Alachua County,29665,6283,16182,3655,38389,7658,30800,41605,44712,32680,31144,13606,0,0,27250,24642,0,0,0,0,24076,44305,29004,8966,23750,24112,1575,156,24,21,1551,155,1.5,1.324763376,3744695.41,8086.4214
2873,12001000809,1835265,629307,Census Tract 8.09,Florida,Alachua County,31815,14801,8500,11258,43682,18176,25875,14025,55417,42850,35625,55424,0,0,43446,24258,0,0,0,0,0,0,31957,9919,21528,14818,599,98,35,31,564,102,5.8,5.086234971,3273139.584,7905.755332
