Object_ID,Geographic_Identifier_-_FIPS_Code,Area_of_Land_(Square_Meters),Area_of_Water_(Square_Meters),Name,State,County,Median_Household_Income_in_past_12_months_(inflation-adjusted_dollars_to_last_year_of_5-year_range),Median_Household_Income_in_past_12_months_(inflation-adjusted_dollars_to_last_year_of_5-year_range)_-_Margin_of_Error,"Median_Household_Income_in_past_12_months,_Householder_under_25_years","Median_Household_Income_in_past_12_months,_Householder_under_25_years_-_Margin_of_Error","Median_Household_Income_in_past_12_months,_Householder_25_to_44_years","Median_Household_Income_in_past_12_months,_Householder_25_to_44_years_-_Margin_of_Error","Median_Household_Income_in_past_12_months,_Householder_45_to_64_years","Median_Household_Income_in_past_12_months,_Householder_45_to_64_years_-_Margin_of_Error","Median_Household_Income_in_past_12_months,_Householder_65_years_and_over","Median_Household_Income_in_past_12_months,_Householder_65_years_and_over_-_Margin_of_Error","Median_Household_Income_in_past_12_months,_Black_or_African_American_Alone_Householder","Median_Household_Income_in_past_12_months,_Black_or_African_American_Alone_Householder_-_Margin_of_Error","Median_Household_Income_in_past_12_months,_American_Indian_and_Alaska_Native_Alone_Householder","Median_Household_Income_in_past_12_months,_American_Indian_and_Alaska_Native_Alone_Householder_-_Margin_of_Error","Median_Household_Income_in_past_12_months,_Asian_Alone_Householder","Median_Household_Income_in_past_12_months,_Asian_Alone_Householder_-_Margin_of_Error","Median_Household_Income_in_past_12_months,_Native_Hawaiian_and_Other_Pacific_Islander_Alone_Householder","Median_Household_Income_in_past_12_months,_Native_Hawaiian_and_Other_Pacific_Islander_Alone_Householder_-_Margin_of_Error","Median_Household_Income_in_past_12_months,_Some_Other_Race_Alone_Householder","Median_Household_Income_in_past_12_months,_Some_Other_Race_Alone_Householder_-_Margin_of_Error","Median_Household_Income_in_past_12_months,_Two_or_More_Races_Householder","Median_Household_Income_in_past_12_months,_Two_or_More_Races_Householder_-_Margin_of_Error","Median_Household_Income_in_past_12_months,_White_alone,_not_Hispanic_Householder","Median_Household_Income_in_past_12_months,_White_alone,_not_Hispanic_Householder_-_Margin_of_Error","Median_Household_Income_in_past_12_months,_Hispanic_or_Latino_Householder","Median_Household_Income_in_past_12_months,_Hispanic_or_Latino_Householder_-_Margin_of_Error",Total_Households,Total_Households_-_Margin_of_Error,Households_with_any_self-employment_income_in_past_12_months,Households_with_any_self-employment_income_in_past_12_months_-_Margin_of_Error,Households_with_no_self-employment_income_in_past_12_months,Households_with_no_self-employment_income_in_past_12_months_-_Margin_of_Error,Percent_of_households_with_any_self-employment_income,Percent_of_households_with_any_self-employment_income_-_Margin_of_Error,Shape_Area,Shape_Length
2865,12001000301,2479034,22169,Census Tract 3.01,Florida,Alachua County,45227,7893,0,0,46509,4470,46767,17576,35208,19569,33590,18854,0,0,0,0,0,0,0,0,0,0,47883,2323,5417,4058,1816,261,149,96,1667,284,8.2,5.153141505,3324151.014,7758.017725
2866,12001000302,3819522,14011,Census Tract 3.02,Florida,Alachua County,41868,6895,0,0,49671,23674,42386,12487,0,0,23750,22036,0,0,0,0,0,0,0,0,0,0,54063,29187,0,0,1237,161,124,91,1113,167,10,7.239888311,5096548.818,9975.819742
2867,12001000400,6010490,18712,Census Tract 4,Florida,Alachua County,50417,16882,0,0,69699,26246,47074,44326,33958,23652,45373,26587,0,0,0,0,0,0,0,0,0,0,66172,26244,81300,33784,2242,440,511,370,1731,263,22.8,15.88537046,8014704.816,11630.95046
2868,12001000500,3917560,1068,Census Tract 5,Florida,Alachua County,57590,11484,40649,714,72583,22401,59643,17233,66026,29880,36900,10139,0,0,0,0,0,0,0,0,0,0,58613,6531,0,0,2451,258,338,141,2113,265,13.8,5.566597557,5206928.652,10843.9551
2869,12001000600,7590803,103244,Census Tract 6,Florida,Alachua County,26638,1771,0,0,35058,8690,24273,11284,26435,686,26255,1735,0,0,0,0,0,0,0,0,0,0,33214,9898,0,0,1912,307,93,72,1819,316,4.9,3.683813027,10222815.14,14337.51684
2870,12001000700,22450707,456638,Census Tract 7,Florida,Alachua County,45649,5354,0,0,45632,10806,53348,18057,41928,16323,36538,14405,0,0,0,0,0,0,0,0,0,0,64792,26477,47209,2061,2512,321,183,81,2329,329,7.3,3.087217849,30419489.2,24527.80358
2871,12001000806,949560,1453,Census Tract 8.06,Florida,Alachua County,20907,5509,15078,4707,24506,20629,0,0,16802,1825,37525,34880,0,0,0,0,0,0,2499,0,18929,14827,17083,7295,31161,26940,1397,182,49,43,1348,173,3.5,3.043916027,1263251.09,4750.240029
2872,12001000808,2637624,188599,Census Tract 8.08,Florida,Alachua County,47549,7419,44668,10872,34922,13586,0,0,107500,55484,42721,26768,0,0,90234,74411,0,0,0,0,0,0,47436,7254,0,0,1302,175,177,106,1125,167,13.6,7.933624543,3753183.605,8109.825242
2873,12001000809,1895352,632352,Census Tract 8.09,Florida,Alachua County,36052,5694,35509,29234,43411,4999,34063,22696,0,0,0,0,0,0,54028,9902,0,0,0,0,0,0,35495,6691,43750,478,729,146,37,30,692,146,5.1,3.987712748,3356996.266,8111.83175
2874,12001000901,2210159,311755,Census Tract 9.01,Florida,Alachua County,27647,3150,0,0,29375,4086,0,0,0,0,0,0,0,0,26771,1165,0,0,0,0,0,0,27500,7282,0,0,350,115,20,16,330,118,5.7,4.168064461,3350161.166,9479.734903
